umap_n_components,umap_n_neighbors,umap_min_dist,k,silhouette_score
9,5,0.06,10,0.73552275
7,4,0.13,10,0.73550344
5,6,0.05,10,0.7354531
2,7,0.03,10,0.7352835
10,4,0.13,10,0.7352395
9,6,0.14,10,0.735218
6,4,0.08,10,0.73518604
9,6,0.11,10,0.7351802
6,4,0.13,10,0.73514813
3,6,0.12,9,0.7349717
9,8,0.09,10,0.7348941
6,4,0.1,10,0.7348772
7,7,0.07,10,0.7348451
2,7,0.09,8,0.734807
10,8,0.06,10,0.7348047
7,5,0.02,10,0.7347229
5,6,0.13,10,0.73468655
7,8,0.15,10,0.73460716
6,4,0.15,10,0.7345279
5,9,0.05,10,0.73444885
8,8,0.11,10,0.73441905
3,8,0.05,9,0.7343352
8,8,0.08,10,0.7342686
6,6,0.02,10,0.7342649
4,7,0.03,9,0.7341666
10,7,0.02,10,0.73412824
10,3,0.11,10,0.73412776
6,3,0.12,10,0.7341252
5,8,0.06,10,0.73402333
8,8,0.14,10,0.73397285
10,5,0.14,10,0.73391354
8,4,0.15,10,0.7337266
6,5,0.08,9,0.733674
7,8,0.12,10,0.73359156
5,4,0.13,10,0.73355895
9,8,0.15,10,0.73352677
4,6,0.09,9,0.7333199
10,8,0.03,10,0.7331152
3,5,0.05,8,0.7331018
6,4,0.03,10,0.73309714
10,4,0.15,10,0.7330607
4,6,0.04,9,0.7330511
6,7,0.02,10,0.7329565
3,4,0.1,9,0.7329423
8,7,0.02,10,0.7328573
4,4,0.11,10,0.7327977
8,5,0.1,9,0.73270065
10,6,0.11,10,0.73268425
9,6,0.05,10,0.7326254
4,9,0.05,9,0.73257375
5,5,0.04,10,0.7325664
5,7,0.12,10,0.7325455
6,9,0.02,10,0.7322319
10,8,0.1,10,0.7321649
5,3,0.14,10,0.73207647
2,5,0.14,9,0.73195803
3,6,0.13,10,0.7319506
2,8,0.04,10,0.7317378
8,6,0.02,10,0.7317048
2,3,0.06,8,0.7316745
8,5,0.04,10,0.731578
2,5,0.06,10,0.7315432
2,5,0.14,8,0.7314946
7,8,0.02,10,0.7314829
2,7,0.14,9,0.73145175
3,8,0.12,10,0.7314257
3,5,0.07,10,0.7311312
7,3,0.1,10,0.73109335
3,3,0.11,10,0.73099905
10,5,0.05,10,0.73099107
3,3,0.07,10,0.73097825
2,3,0.02,10,0.73087406
4,8,0.15,10,0.7307029
9,7,0.14,10,0.7306386
10,6,0.08,10,0.730635
4,6,0.08,9,0.7306119
7,3,0.02,10,0.7306064
5,3,0.04,10,0.7304946
7,4,0.02,10,0.7304904
2,4,0.15,10,0.7304293
2,4,0.1,10,0.73036015
4,5,0.1,10,0.73031425
3,4,0.14,10,0.7303057
8,7,0.13,10,0.7302899
6,8,0.12,10,0.73010355
9,8,0.02,10,0.73010087
5,6,0.07,9,0.73009825
8,6,0.12,10,0.729962
3,6,0.14,9,0.72994053
6,9,0.05,10,0.7299388
2,4,0.14,9,0.7298873
5,5,0.09,9,0.7298303
8,3,0.08,10,0.7297904
7,3,0.05,10,0.7297827
2,9,0.02,10,0.7297502
6,6,0.05,10,0.7297077
3,8,0.11,10,0.72968554
3,3,0.05,9,0.729482
6,8,0.14,10,0.7293817
3,3,0.09,9,0.7293291
3,7,0.15,9,0.7291984
7,7,0.14,10,0.72918195
5,6,0.12,10,0.72906655
4,7,0.1,9,0.7289768
2,6,0.07,10,0.72886777
8,7,0.12,10,0.72883666
9,6,0.04,10,0.72882515
4,8,0.07,10,0.7288205
8,6,0.13,10,0.72877324
7,6,0.13,10,0.7287457
5,7,0.02,10,0.728684
10,6,0.12,9,0.72866756
8,8,0.03,9,0.728617
6,9,0.04,10,0.72860926
2,6,0.09,9,0.7284097
4,6,0.03,10,0.728328
8,5,0.08,10,0.7283215
5,4,0.04,10,0.7282504
6,8,0.15,10,0.728228
9,3,0.1,10,0.7282035
4,7,0.14,10,0.7281669
4,7,0.07,9,0.7281425
5,3,0.03,10,0.7281288
6,6,0.06,9,0.7281076
4,4,0.08,10,0.7279347
9,8,0.03,9,0.72778565
3,5,0.15,10,0.7277696
5,7,0.15,10,0.72776264
9,8,0.13,10,0.7277245
7,8,0.14,10,0.7277024
4,4,0.08,9,0.72768974
9,4,0.1,10,0.72766465
4,7,0.02,9,0.7276495
2,8,0.13,9,0.72755975
8,8,0.13,10,0.727355
4,8,0.05,8,0.72722703
5,4,0.12,10,0.7271899
6,5,0.02,10,0.7271331
10,8,0.11,9,0.7270875
8,6,0.09,9,0.72688705
10,4,0.03,10,0.726862
9,5,0.08,10,0.72683424
7,8,0.03,10,0.7268309
7,6,0.11,10,0.726721
7,5,0.08,10,0.72667193
4,3,0.08,10,0.72660536
2,9,0.12,10,0.7264191
3,5,0.12,10,0.72634685
5,5,0.02,10,0.72633284
7,5,0.11,9,0.72630805
5,5,0.07,9,0.7261723
7,7,0.12,10,0.7261289
10,9,0.04,10,0.72609586
8,3,0.06,10,0.72605276
10,8,0.05,9,0.72602785
4,4,0.02,10,0.7260257
5,8,0.04,10,0.7260003
6,8,0.05,10,0.7258881
7,8,0.1,9,0.72573996
3,4,0.05,10,0.72573227
3,6,0.1,9,0.72570324
3,8,0.09,8,0.72567976
3,6,0.03,10,0.7255884
3,5,0.05,10,0.7255858
8,3,0.15,10,0.7255773
6,8,0.06,9,0.7255089
10,9,0.03,10,0.7254971
4,8,0.09,10,0.7254506
8,6,0.06,10,0.7253999
3,3,0.08,10,0.7251768
7,5,0.14,10,0.7251452
7,7,0.02,10,0.7251427
3,7,0.03,9,0.72513586
7,7,0.13,10,0.72510797
5,5,0.03,9,0.7249772
2,3,0.15,10,0.72496897
9,4,0.14,10,0.72488
8,3,0.1,10,0.72480065
3,6,0.08,10,0.72473913
3,5,0.08,9,0.724739
6,6,0.1,10,0.7246411
6,7,0.1,10,0.7245322
9,4,0.04,10,0.72452855
9,8,0.14,10,0.7244999
4,4,0.07,9,0.7244219
8,9,0.09,10,0.7243683
6,7,0.07,10,0.7243514
4,9,0.08,10,0.7243237
5,7,0.06,10,0.72422034
9,3,0.12,10,0.7241844
3,4,0.02,10,0.7241538
3,9,0.07,10,0.72409725
7,3,0.08,10,0.7240248
2,9,0.11,10,0.7240153
4,5,0.15,9,0.7239941
2,8,0.1,8,0.72398436
6,8,0.08,9,0.72396374
7,4,0.03,9,0.72396207
3,4,0.15,10,0.7239268
10,5,0.02,9,0.7239101
5,8,0.11,9,0.7238731
2,8,0.05,9,0.72385603
8,5,0.07,10,0.72357297
2,8,0.13,8,0.72356606
5,8,0.08,9,0.7235457
3,4,0.11,9,0.7235427
7,3,0.11,10,0.7235143
4,3,0.05,10,0.7234798
9,5,0.04,10,0.723443
8,7,0.06,10,0.7234289
10,7,0.06,10,0.7234106
6,9,0.03,10,0.72340393
4,5,0.04,9,0.7233583
5,4,0.11,10,0.72328216
6,8,0.11,9,0.7232341
8,4,0.13,10,0.72308207
10,8,0.13,10,0.72295403
9,5,0.09,10,0.722863
8,4,0.02,10,0.72279644
2,3,0.08,10,0.722793
8,4,0.04,9,0.7227256
2,8,0.02,9,0.7226224
9,9,0.09,9,0.72256184
2,9,0.07,10,0.7224614
5,7,0.04,9,0.7224037
3,6,0.07,8,0.72234124
10,8,0.02,10,0.72230804
9,4,0.02,10,0.7222425
5,7,0.14,10,0.7221642
7,3,0.03,10,0.7220824
2,10,0.02,10,0.722043
6,6,0.12,9,0.72198886
8,7,0.02,9,0.7219731
7,3,0.07,10,0.7219428
7,3,0.05,9,0.721935
3,3,0.11,9,0.7218804
8,5,0.14,10,0.7217397
6,3,0.06,10,0.7216442
10,7,0.08,9,0.72164327
7,8,0.04,10,0.7216172
7,6,0.02,10,0.72136784
2,3,0.07,9,0.7213539
2,8,0.06,9,0.7212624
7,8,0.06,9,0.7212137
7,4,0.05,9,0.7211872
7,8,0.13,9,0.72117585
6,8,0.1,10,0.7211173
2,5,0.02,7,0.72108656
3,4,0.09,9,0.72107387
