tsne_dimension,perplexity,k,silhouette_score
3,9.25,8,0.21325693
3,8.5,9,0.21320207
3,5.75,7,0.2127464
3,8.0,9,0.21227372
3,6.75,9,0.21219087
3,8.0,5,0.21162541
3,7.0,10,0.21147878
3,8.25,9,0.21118408
3,7.75,9,0.21077634
3,10.0,8,0.21068802
3,9.25,5,0.21053076
3,9.25,9,0.21032657
3,10.25,8,0.20969555
3,6.5,8,0.20960775
3,7.75,6,0.20931719
3,5.5,10,0.20856811
3,8.5,8,0.20837463
3,8.25,8,0.20829818
3,6.75,10,0.20775005
3,8.0,10,0.20766868
3,6.25,8,0.20723383
3,5.5,5,0.2070907
3,10.0,9,0.20664847
3,7.0,8,0.20608781
3,8.5,10,0.20592062
3,9.0,8,0.2056541
3,9.0,10,0.20509781
3,10.25,10,0.20469894
3,6.5,5,0.20455672
3,7.25,10,0.20383415
3,4.5,7,0.20325437
3,10.0,10,0.20008372
3,10.0,7,0.1988029
3,9.0,9,0.19880034
3,10.25,9,0.1979032
3,7.25,7,0.19701995
3,7.75,10,0.1968541
3,7.75,7,0.19572677
3,0.75,8,0.19215505
3,0.5,8,0.18978316
3,0.5,6,0.1891911
3,1.5,6,0.18680356
3,0.75,9,0.18303187
3,0.75,10,0.18175381
3,6.5,10,0.172
